Gouvernement,Acide N-acétylanthranilique,Acide lysergique,Acide phénylacétique,Alpha-phénylacétoacétonitrile,Anhydride acétique,4-anilino-N-phénétyl-piperidine(ANPP),Ephédrine,Ergométrine,Ergotamine,Isosafrole,3.4-Méthylénedioxy-phénylpropane-2-one,Noréphédrine,Permanganate de potassium,N-phénétyl-4-pipréridone(NPP),Phényl 1 Propanone 2,Pipéronal,Pseudoéphédrine,Safrole,Acétone,Acide anthranilique,Acide chlorhydrique,Acide sulfurique,Ether éthylique,Méthyléthylcétone,Pipéridine,Toluéne
Benin,X,X,X,NULL,X,NULL,X,X,X,X,X,X,X,NULL,X,X,X,X,X,X,X,X,X,X,X,X
Bhoutan,NULL,NULL,NULL,4,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bolivie,NULL,X,NULL,4,4,4,4,4,4,NULL,NULL,X,4,4,NULL,NULL,4,NULL,4,NULL,4,4,4,4,NULL,4
Bosnie-Herzégovine,2,2,2,NULL,2,NULL,2,2,2,2,2,2,2,NULL,2,2,2,2,2,2,2,2,2,2,2,2
Botswana,X,X,X,NULL,X,NULL,X,X,X,X,X,NULL,X,NULL,X,X,X,X,X,X,X,X,X,X,X,X
Brésil,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,P,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Brunei-Darussalam,X,X,X,4,X,4,X,X,X,X,X,X,X,4,X,X,X,X,X,X,X,X,X,X,X,X
Bulgarie,4,4,2,4,2,NULL,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Burkina-Faso,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Cap-Vert,NULL,Y,NULL,NULL,Y,NULL,Y,Y,Y,NULL,NULL,NULL,NULL,NULL,Y,NULL,Y,NULL,Y,Y,NULL,NULL,Y,NULL,Y,NULL
Cambodge,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,NULL,X,X,NULL,NULL,NULL,X,NULL,X,NULL,X,X,NULL,X,NULL,X
Canada,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,1,1,1,1,4,1
Chili,3,3,3,0,3,0,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3
Chine,4,4,4,4,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Chine (RAS de Hong Kong),Y,Y,Y,4,Y,4,Y,Y,Y,Y,Y,Y,Y,4,Y,Y,Y,Y,NULL,Y,NULL,NULL,NULL,NULL,Y,NULL
Chine (RAS de Macao),X,X,X,NULL,X,NULL,X,X,X,X,X,X,X,NULL,X,X,X,X,X,X,X,X,X,X,X,X
Chypre,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Colombie,4,NULL,4,NULL,NULL,NULL,4,4,4,4,4,4,NULL,NULL,4,4,4,4,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL
Costa Rica,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Cote D'ivoire,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Croatie,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Cuba,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Danemark,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Dominique,NULL,NULL,NULL,P,NULL,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Egypte,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,0,0,0,0,0,0,0
El Salvador,4,4,4,4,4,4,P,4,4,4,4,4,4,4,4,4,P,4,4,4,4,4,4,4,4,4
Emirats Arabe Unis,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Equateur,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Erythrée,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Espagne,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Estonie,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Etats membres de l'Union européenne,4,4,2,NULL,2,NULL,4,4,4,4,4,4,2,NULL,4,4,4,4,0,2,0,0,0,0,2,0
Etats Unis,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Ethiopie,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Russie,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Fidji,NULL,Y,NULL,NULL,Y,NULL,Y,Y,Y,NULL,NULL,NULL,NULL,NULL,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,NULL,Y,NULL
Finlande,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
France,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Gambie,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Géorgie,0,4,0,4,0,4,4,4,4,0,0,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0
Ghana,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Gibraltar,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Grèce,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Guatemala,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,P,Y,Y,Y,Y,Y,Y,Y,Y,Y
Guyana,X,X,X,NULL,X,NULL,X,X,X,X,X,X,X,NULL,X,X,Y,X,X,X,X,X,X,X,X,X
Haiti,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Honduras,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Hongrie,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Inde,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,0,4,0,0,0,4,0,0
Indonésie,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Iran,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Irlande,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Islande,2,2,2,NULL,2,NULL,2,2,2,2,2,2,2,NULL,2,2,2,2,2,2,2,2,2,2,2,2
Israél,2,4,2,NULL,2,NULL,4,4,4,2,2,4,2,NULL,2,2,2,2,1,2,1,1,1,2,2,1
Italie,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,0,2,0,0,0,0,2,0
Jamaique,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Japon,3,3,4,4,3,4,4,3,3,3,3,4,3,4,4,3,4,3,1,1,1,1,1,1,1,1
Jordanie,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,P,4,4,4,4,4,4,4,4,4,4,4
Kazakhstan,4,4,4,NULL,4,NULL,4,4,4,4,4,4,4,NULL,4,4,4,4,4,4,4,4,4,4,4,4
Kenya,Y,Y,X,NULL,Y,NULL,Y,Y,Y,Y,Y,Y,Y,NULL,Y,Y,Y,Y,X,NULL,X,X,X,X,X,X
